OTU_ID	49_ITS	50_ITS	51_ITS	52_ITS	53_ITS	54_ITS	55_ITS	56_ITS	57_ITS	58_ITS	59_ITS	60_ITS	61_ITS	62_ITS	63_ITS	64_ITS	65_ITS	66_ITS	67_ITS	68_ITS	69_ITS	70_ITS	71_ITS	72_ITS	73_ITS	74_ITS	75_ITS	76_ITS	77_ITS	78_ITS	79_ITS	80_ITS	81_ITS	82_ITS	83_ITS	84_ITS	85_ITS	86_ITS	87_ITS	88_ITS	89_ITS	90_ITS	91_ITS	92_ITS	93_ITS	94_ITS	125_ch_ITS	95_ITS	96_ITS	85_ch_ITS	86_ch_ITS	87_ch_ITS	88_ch_ITS	89_ch_ITS	90_ch_ITS	91_ch_ITS	92_ch_ITS	93_ch_ITS	94_ch_ITS	Blank_CH_ITS	96_ch_ITS	97_ch_ITS	98_ch_ITS	99_ch_ITS	100_ch_ITS	101_ch_ITS	102_ch_ITS	126_ch_ITS	103_ch_ITS	127_ch_ITS	104_ch_ITS	128_ch_ITS	105_ch_ITS	129_ch_ITS	106_ch_ITS	130_ch_ITS	107_ch_ITS	131_ch_ITS	108_ch_ITS	132_ch_ITS	117_ch_ITS	109_ch_ITS	118_ch_ITS	110_ch_ITS	119_ch_ITS	111_ch_ITS	120_ch_ITS	112_ch_ITS	121_ch_ITS	113_ch_ITS	122_ch_ITS	114_ch_ITS	123_ch_ITS	115_ch_ITS	124_ch_ITS	116_ch_ITS	1_ITS	2_ITS	3_ITS	4_ITS	5_ITS	6_ITS	7_ITS	8_ITS	9_ITS	10_ITS	11_ITS	12_ITS	13_ITS	14_ITS	15_ITS	16_ITS	17_ITS	18_ITS	19_ITS	20_ITS	21_ITS	22_ITS	23_ITS	24_ITS	25_ITS	26_ITS	27_ITS	28_ITS	29_ITS	30_ITS	31_ITS	32_ITS	33_ITS	34_ITS	35_ITS	36_ITS	37_ITS	38_ITS	39_ITS	40_ITS	41_ITS	42_ITS	43_ITS	44_ITS	45_ITS	46_ITS	47_ITS	48_ITS	Blank_S1_ITS	taxonomy
fASV_39	14	2607	539	707	0	598	399	2011	524	688	0	606	208	142	1062	224	135	32	283	0	514	693	30	198	1113	393	815	0	398	371	368	406	182	1484	304	15	409	474	1112	276	410	1953	149	2454	349	955	360	55	377	44	0	89	71	10	0	0	9	88	276	0	24	0	130	0	28	0	71	0	42	7	0	0	136	9	24	9	0	0	0	6	0	0	68	41	0	63	12	35	18	101	54	17	0	6	32	0	0	0	0	0	0	84	64	3	81	0	0	0	201	460	0	15	35	1241	0	120	772	1487	3330	467	357	403	398	2747	0	66	0	469	184	266	0	0	0	83	1078	1234	0	4	3634	308	102	59	0	944	0	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;NA
fASV_36	1159	0	1567	0	1523	0	0	0	0	547	2502	4	0	0	173	1850	23	11	3085	1130	10199	3	7	5	0	165	0	5	5	781	0	1710	0	0	8	0	843	0	1717	4489	0	7	5	6	9	1182	2705	0	0	0	0	0	6	0	5	0	0	0	9	7	7	0	0	19	21	0	121	9	352	16	0	38	0	37	0	0	0	0	0	10	0	2	0	0	3	0	121	8	0	0	0	10	0	0	93	0	0	46	0	0	0	596	0	5	0	7	0	0	0	129	0	0	0	0	13	0	0	7	0	0	89	9	5	3120	0	6	0	17	297	13	0	0	9	10	0	0	0	0	719	440	0	0	0	1748	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Dichotomopilus;s__Dichotomopilus_subfunicola
fASV_11	19	1932	678	19	39	15	67426	1846	29961	4	7	462	1057	404	3328	0	5	17	12453	24	14	11	8515	13758	4935	24	15	26	615	8429	17	15	24	2193	13	1837	1006	4260	23	0	10	0	635	19	2184	80	1745	14	6909	1163	13	10	24	18	0	13	1794	1131	16	5	52	140	13	303	14	288	21	21	33	0	1715	65	9	83	475	1354	161	90	7	126	40	120	1782	197	49	9281	0	899	254	0	175	0	17	132	2159	12	39	189	0	17	13	2370	402	11	23	17	8	23	4938	0	36	505	2073	4	23	0	13	7	7	8408	110	2251	2460	5394	537	17	27	3024	31	18	18	40	18	33	1811	15	19	20	184	216	1774	8	0	7	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_slobbergiarum
fASV_19	1515	1799	1129	692	2186	26	3119	611	1172	286	1573	206	14	1897	4622	1517	378	16	3824	13	38	3191	20	13	954	16	12	16	8540	0	965	0	14	2084	2707	4537	0	2059	10	0	0	1337	0	14	16	1278	17	171	3437	40	22	830	3431	15	0	24	1313	1954	25	13	16	0	1097	235	1256	25	100	50	855	0	439	17	439	23	1798	359	177	291	14	18	36	504	283	16	18	1674	255	0	260	0	180	73	15	123	0	117	9	63	29	20	15	13	0	15	1636	6	0	0	12	29	0	381	745	4396	14	2105	0	16	9	23	0	42	1279	0	10	0	0	18	0	12	37	8	23	0	14	14	39	0	222	16	37	37	11	0	21	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Furcasterigmium;s__Furcasterigmium_furcatum
fASV_37	906	520	523	0	0	0	0	0	716	986	0	0	0	0	804	2327	0	0	6582	20	0	0	0	0	939	334	0	0	480	292	0	3742	13	869	1536	2704	0	0	0	18	14	3659	11	0	911	0	0	0	229	0	0	1467	24	0	844	18	0	0	0	0	0	11	443	126	498	3083	0	55	0	0	0	61	0	64	0	0	562	0	10	31	0	0	0	0	34	0	85	464	0	0	165	22	0	176	1726	0	0	308	0	0	0	907	12	0	1720	0	13	14	0	344	14	0	0	0	0	838	3457	0	0	1336	177	20	17	21	14	12592	24	9	61	0	0	11	0	20	0	0	0	14	3481	0	1617	19	0	7	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Furcasterigmium;s__Furcasterigmium_furcatum
fASV_35	552	0	0	0	540	0	0	0	715	59	595	430	412	1253	0	131	3838	97	336	1667	0	36	0	432	0	24	6	0	283	80	0	3028	0	6	544	135	1010	2125	4	711	12	2867	0	3945	562	254	0	43	2779	0	0	2050	11	573	0	171	0	0	7	0	136	15	184	195	401	1202	0	12	0	31	5	65	124	129	0	94	0	0	4	73	0	37	0	232	17	891	30	446	33	0	81	73	0	10	96	0	0	57	0	0	9	1779	497	0	1702	0	0	0	0	488	0	836	437	0	0	2715	0	0	0	6	235	761	0	0	0	2930	0	771	5133	60	0	6	8	0	2162	4	0	0	137	0	11	224	0	0	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium;s__Purpureocillium_sp
fASV_5	4410	179	476	82	1843	1349	2634	1900	99	1504	812	193	7389	689	2147	266	180	1454	3112	83	5180	1660	5503	413	0	16945	1206	110	72	171	198	292	91	91	70	231	1866	4151	2270	6810	146	843	233	189	542	1305	104	211	1684	113	5728	82	119	131	1138	973	145	76	79	71	108	132	192	195	48	2931	301	167	142	148	86	81	154	133	103	124	284	79	92	96	108	285	106	106	153	186	112	132	64	66	80	117	53	79	0	36	144	164	122	166	53	14252	8486	54	5759	0	0	0	1653	0	31	564	5583	3555	0	415	6817	2840	7032	4545	401	746	4436	76	40	81	110	69	1660	4121	50	50	35	2046	11534	8728	68	74	2757	32886	5282	217	81	73	45	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_dichromosporum
fASV_3	454	2929	469	192	284	339	4108	3035	815	3147	3031	1279	191	196	1378	152	10410	1253	127	3066	8352	1465	140	4394	8427	71745	158	215	116	143	264	3085	228	667	137	908	3140	118	198	510	302	8535	3975	342	937	694	134	331	127	226	11916	1056	1818	111	85	240	3857	180	149	105	797	157	996	599	1531	5683	751	413	113	108	8550	146	96	161	270	261	479	160	254	260	138	426	722	180	198	242	148	152	185	281	315	390	115	165	31	40	110	973	52	35	70	58340	20185	193	9937	95	59	90	4572	376	85	70	3292	72	126	90	193	74	4380	21263	1733	22630	2588	94	129	5344	87	168	571	210	115	173	174	13469	5602	9110	99	93	5626	10381	5521	170	152	2064	62	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;NA
fASV_47	6	0	9	11	1103	0	16	0	276	19	865	0	0	17	0	946	0	0	0	0	0	0	12	0	0	6	6	6	4	0	10	0	855	0	0	2549	0	0	0	0	0	2027	0	0	7	0	0	5	511	20	7	0	120	1767	8	113	0	7	1801	0	17	0	2119	323	0	2132	25	0	268	53	0	0	0	138	4	141	253	7	4	0	6	323	0	145	12	0	0	88	0	0	28	24	0	0	0	0	0	15	0	52	0	0	96	0	0	0	0	0	3710	270	0	0	393	6	0	0	0	0	1319	1701	308	0	415	0	1564	0	0	3343	959	55	0	11	0	0	0	0	0	0	575	1249	0	0	0	0	32	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;NA;NA;NA
fASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	776	0	0	0	0	0	1944	39546	0	0	0	0	0	0	269	0	0	0	0	0	0	486	0	0	0	0	0	0	0	1648	591	0	0	0	0	751	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1630	0	0	0	0	0	7313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727	1339	1900	0	0	10271	0	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neocosmospora;s__Neocosmospora_rubicola
