"ID","Phase","Experiment","Stress","herbivory","soil_inocula","plant_pathway_induced","Glucosinolates","treatment","weight_mg","Glu_total","Glu_3MSOP","Glu_4MSOB","Glu_Allyl","Glu_4OHI3M","Glu_I3M","Glu_4MOI3M","Glu_1MOI3M"
"137","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",15.3,17.4484720708423,7.73858971361224,1.30690489493173,2.08529720494775,0.129926582191267,5.74124757183484,0.206599471953572,0.239906631370888
"149","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",16.2,34.6535454119418,0.529210382826391,0.017329045397245,0.0379105257304693,0.0840374921599022,26.7592188815989,0.178673838699111,7.04716524552978
"161","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",18.4,10.9747147449829,6.12904809410595,0.388811287351314,1.72857567891631,0.107269288094173,2.41077362426221,0.126421124474708,0.0838156477782757
"173","feedback","simulated","Aphid","aphid","non-conditioned","NA","1","control_live",19,15.6302280002644,7.76356570653036,1.71152489582887,2.52043192242082,0.157340227843346,3.2438942024465,0.111909408369761,0.121561636824755
"185","feedback","simulated","Chewer","caterpillar","non-conditioned","NA","1","control_live",15.6,32.6726107379405,0.236080303876115,0,0,0.0840645966974536,26.3572810291449,0.114694548815945,5.88049025940613
"197","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",17.3,11.3688207875668,5.23905577122914,0.333593731247705,1.41131307692892,0.0796279566598746,3.94517683428482,0.186580330701575,0.173473086514762
"209","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",19.6,25.801986636163,0.54137689166297,0.0278587206845697,0,0.0834765390037201,20.0994401611965,0.0739767392551757,4.97585758435997
"221","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",16,17.6710785589091,9.01248538535515,1.29236081196793,2.08358935281588,0.0845709422791527,4.95019429019855,0.109152448072318,0.138725328220112
"162","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",15.8,15.7478004549806,8.83613269591548,1.29868611091837,2.22356471740217,0.181577138008482,3.00550696105913,0.09921699500731,0.103115836669615
"139","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",14.5,8.20213270194577,4.57316291702549,0.731054687402516,0.781376377137381,0.0727319314483004,1.92363517528517,0.0387128211568721,0.0814587924900422
"151","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",16,41.9283996681411,0.198641859483981,0,0,0.0614887586957095,35.3480834348613,0.20322452120875,6.11696109389139
"175","feedback","simulated","Aphid","aphid","non-conditioned","NA","1","control_live",18.1,20.8196151458689,9.69031369751716,2.04064466061562,3.47921121449491,0.217454223854968,4.87307822560543,0.225246176883743,0.293666946897089
"187","feedback","simulated","Control","without","non-conditioned","NA","1","control_live",11.3,22.2423742040553,11.0262897752439,1.43606173854552,4.68923690933614,0.220405400543125,4.46748507222394,0.152871364657146,0.250023943505468
"199","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",18.8,13.0638949996419,7.04480951788725,0.476463541151885,1.5022825394611,0.13253508310728,3.61990667945224,0.142036992282353,0.145860646299766
"211","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",15.3,33.7753200146871,0.206737104207274,0,0,0.0229804577976698,29.1286807536547,0.117369433186722,4.29955226584073
"223","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",13.2,13.1018560228485,8.85503964127336,0.775308064997948,1.38213338402869,0.0614122489961507,1.86181380429976,0.0828592137905578,0.0832896654619958
"212","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",17.8,53.6071666471251,0.705436178849162,0.04054714976553,0.0186794373986939,0.0315493073499901,46.4108350740062,0.305888327887563,6.09423117186796
"141","feedback","simulated","Aphid","aphid","control-conditioned","NA","1","control_plant",15.3,17.9888854842179,7.01753706072573,0.710349664681376,2.62594390691546,0.0873014591586247,7.07016029977956,0.232695699348924,0.244897393608279
"153","feedback","simulated","Chewer","caterpillar","control-conditioned","NA","1","control_plant",19,32.7534106578377,1.16444214595481,0.084614883693333,0,0.0949673678585503,27.3318116020427,0.149759310386697,3.9278153479016
"165","feedback","simulated","Control","without","control-conditioned","NA","1","control_plant",19.6,16.5348205042527,8.28798133797551,1.18992248557765,3.09111016407806,0.110002773130637,3.6280629137415,0.0895781397690383,0.13816268998028
"177","feedback","simulated","Chewer","caterpillar","non-conditioned","NA","1","control_live",13.1,43.7189922876607,1.5515245869624,0.024223740792339,0,0.0419186888315471,38.0135102252539,0.291946211362277,3.79586883445817
"189","feedback","simulated","Control","without","non-conditioned","NA","1","control_live",19.4,7.26668579169693,4.03015393598423,0.481225009540524,0.935667589985129,0.0896231560599839,1.56869839314791,0.0852853875130905,0.0760323194660519
"201","feedback","simulated","Aphid","aphid","JA-conditioned","NA","1","MeJA",16.2,14.5979923707556,6.74690988176162,0.87695499425143,2.01038590303002,0.0973177904919512,4.52932252603061,0.135175509130726,0.201925766059245
"213","feedback","simulated","Chewer","caterpillar","JA-conditioned","NA","1","MeJA",11.3,33.466103439021,0.332642265439552,0,0,0.0542170779043452,29.0728222706626,0.155985415378309,3.85043640963628
"225","feedback","simulated","Control","without","JA-conditioned","NA","1","MeJA",18,4.72962416816524,2.97629850185853,0.397528456115475,0.456778078834368,0.0372990091542648,0.781588390721073,0.0427722886080152,0.0373594428735153
