""	"NS.1717.001.FLD_ill_046_i7---IDT_i5_4.125_ch_ITS"	"NS.1717.001.FLD_ill_049_i7---IDT_i5_9.1153_ITS"	"NS.1717.001.FLD_ill_050_i7---IDT_i5_9.1154_ITS"	"NS.1717.001.FLD_ill_051_i7---IDT_i5_9.1155_ITS"	"NS.1717.001.FLD_ill_052_i7---IDT_i5_9.1156_ITS"	"NS.1717.001.FLD_ill_053_i7---IDT_i5_9.1157_ITS"	"NS.1717.001.FLD_ill_054_i7---IDT_i5_9.1158_ITS"	"NS.1717.001.FLD_ill_055_i7---IDT_i5_9.1159_ITS"	"NS.1717.001.FLD_ill_056_i7---IDT_i5_9.1160_ITS"	"NS.1717.001.FLD_ill_057_i7---IDT_i5_10.1161_ITS"	"NS.1717.001.FLD_ill_058_i7---IDT_i5_10.1162_ITS"	"NS.1717.001.FLD_ill_059_i7---IDT_i5_10.1163_ITS"	"NS.1717.001.FLD_ill_060_i7---IDT_i5_10.1164_ITS"	"NS.1717.001.FLD_ill_061_i7---IDT_i5_10.1165_ITS"	"NS.1717.001.FLD_ill_062_i7---IDT_i5_10.1166_ITS"	"NS.1717.001.FLD_ill_063_i7---IDT_i5_10.1167_ITS"	"NS.1717.001.FLD_ill_064_i7---IDT_i5_10.1168_ITS"	"NS.1717.001.FLD_ill_065_i7---IDT_i5_11.1169_ITS"	"NS.1717.001.FLD_ill_065_i7---IDT_i5_8.85_ch_ITS"	"NS.1717.001.FLD_ill_066_i7---IDT_i5_11.1170_ITS"	"NS.1717.001.FLD_ill_066_i7---IDT_i5_8.86_ch_ITS"	"NS.1717.001.FLD_ill_067_i7---IDT_i5_11.1171_ITS"	"NS.1717.001.FLD_ill_067_i7---IDT_i5_8.87_ch_ITS"	"NS.1717.001.FLD_ill_068_i7---IDT_i5_11.1172_ITS"	"NS.1717.001.FLD_ill_068_i7---IDT_i5_8.88_ch_ITS"	"NS.1717.001.FLD_ill_069_i7---IDT_i5_11.1173_ITS"	"NS.1717.001.FLD_ill_069_i7---IDT_i5_8.89_ch_ITS"	"NS.1717.001.FLD_ill_070_i7---IDT_i5_11.1174_ITS"	"NS.1717.001.FLD_ill_070_i7---IDT_i5_8.90_ch_ITS"	"NS.1717.001.FLD_ill_071_i7---IDT_i5_11.1175_ITS"	"NS.1717.001.FLD_ill_071_i7---IDT_i5_8.91_ch_ITS"	"NS.1717.001.FLD_ill_072_i7---IDT_i5_11.1176_ITS"	"NS.1717.001.FLD_ill_072_i7---IDT_i5_8.92_ch_ITS"	"NS.1717.001.FLD_ill_073_i7---IDT_i5_12.1177_ITS"	"NS.1717.001.FLD_ill_073_i7---IDT_i5_9.93_ch_ITS"	"NS.1717.001.FLD_ill_074_i7---IDT_i5_12.1178_ITS"	"NS.1717.001.FLD_ill_074_i7---IDT_i5_9.94_ch_ITS"	"NS.1717.001.FLD_ill_075_i7---IDT_i5_12.1180_ITS"	"NS.1717.001.FLD_ill_075_i7---IDT_i5_9.Blank_CH_ITS"	"NS.1717.001.FLD_ill_076_i7---IDT_i5_12.1181_ITS"	"NS.1717.001.FLD_ill_076_i7---IDT_i5_9.96_ch_ITS"	"NS.1717.001.FLD_ill_077_i7---IDT_i5_12.1182_ITS"	"NS.1717.001.FLD_ill_077_i7---IDT_i5_9.97_ch_ITS"	"NS.1717.001.FLD_ill_078_i7---IDT_i5_12.1183_ITS"	"NS.1717.001.FLD_ill_078_i7---IDT_i5_9.98_ch_ITS"	"NS.1717.001.FLD_ill_079_i7---IDT_i5_12.1184_ITS"	"NS.1717.001.FLD_ill_079_i7---IDT_i5_9.99_ch_ITS"	"NS.1717.001.FLD_ill_080_i7---IDT_i5_12.1185_ITS"	"NS.1717.001.FLD_ill_080_i7---IDT_i5_9.100_ch_ITS"	"NS.1717.001.FLD_ill_081_i7---IDT_i5_1.1186_ITS"	"NS.1717.001.FLD_ill_081_i7---IDT_i5_10.101_ch_ITS"	"NS.1717.001.FLD_ill_082_i7---IDT_i5_1.1187_ITS"	"NS.1717.001.FLD_ill_082_i7---IDT_i5_10.102_ch_ITS"	"NS.1717.001.FLD_ill_082_i7---IDT_i5_9.126_ch_ITS"	"NS.1717.001.FLD_ill_083_i7---IDT_i5_1.1188_ITS"	"NS.1717.001.FLD_ill_083_i7---IDT_i5_10.103_ch_ITS"	"NS.1717.001.FLD_ill_083_i7---IDT_i5_9.127_ch_ITS"	"NS.1717.001.FLD_ill_084_i7---IDT_i5_1.1189_ITS"	"NS.1717.001.FLD_ill_084_i7---IDT_i5_10.104_ch_ITS"	"NS.1717.001.FLD_ill_084_i7---IDT_i5_9.128_ch_ITS"	"NS.1717.001.FLD_ill_085_i7---IDT_i5_1.1190_ITS"	"NS.1717.001.FLD_ill_085_i7---IDT_i5_10.105_ch_ITS"	"NS.1717.001.FLD_ill_085_i7---IDT_i5_9.129_ch_ITS"	"NS.1717.001.FLD_ill_086_i7---IDT_i5_1.1191_ITS"	"NS.1717.001.FLD_ill_086_i7---IDT_i5_10.106_ch_ITS"	"NS.1717.001.FLD_ill_086_i7---IDT_i5_9.130_ch_ITS"	"NS.1717.001.FLD_ill_087_i7---IDT_i5_1.1192_ITS"	"NS.1717.001.FLD_ill_087_i7---IDT_i5_10.107_ch_ITS"	"NS.1717.001.FLD_ill_087_i7---IDT_i5_9.131_ch_ITS"	"NS.1717.001.FLD_ill_088_i7---IDT_i5_1.1193_ITS"	"NS.1717.001.FLD_ill_088_i7---IDT_i5_10.108_ch_ITS"	"NS.1717.001.FLD_ill_088_i7---IDT_i5_9.132_ch_ITS"	"NS.1717.001.FLD_ill_089_i7---IDT_i5_10.117_ch_ITS"	"NS.1717.001.FLD_ill_089_i7---IDT_i5_11.109_ch_ITS"	"NS.1717.001.FLD_ill_089_i7---IDT_i5_2.1194_ITS"	"NS.1717.001.FLD_ill_090_i7---IDT_i5_10.118_ch_ITS"	"NS.1717.001.FLD_ill_090_i7---IDT_i5_11.110_ch_ITS"	"NS.1717.001.FLD_ill_090_i7---IDT_i5_2.1195_ITS"	"NS.1717.001.FLD_ill_091_i7---IDT_i5_10.119_ch_ITS"	"NS.1717.001.FLD_ill_091_i7---IDT_i5_11.111_ch_ITS"	"NS.1717.001.FLD_ill_091_i7---IDT_i5_2.1196_ITS"	"NS.1717.001.FLD_ill_092_i7---IDT_i5_10.120_ch_ITS"	"NS.1717.001.FLD_ill_092_i7---IDT_i5_11.112_ch_ITS"	"NS.1717.001.FLD_ill_092_i7---IDT_i5_2.1197_ITS"	"NS.1717.001.FLD_ill_093_i7---IDT_i5_10.121_ch_ITS"	"NS.1717.001.FLD_ill_093_i7---IDT_i5_11.113_ch_ITS"	"NS.1717.001.FLD_ill_093_i7---IDT_i5_2.1198_ITS"	"NS.1717.001.FLD_ill_094_i7---IDT_i5_10.122_ch_ITS"	"NS.1717.001.FLD_ill_094_i7---IDT_i5_11.114_ch_ITS"	"NS.1717.001.FLD_ill_094_i7---IDT_i5_2.1199_ITS"	"NS.1717.001.FLD_ill_095_i7---IDT_i5_10.123_ch_ITS"	"NS.1717.001.FLD_ill_095_i7---IDT_i5_11.115_ch_ITS"	"NS.1717.001.FLD_ill_095_i7---IDT_i5_2.1200_ITS"	"NS.1717.001.FLD_ill_096_i7---IDT_i5_10.124_ch_ITS"	"NS.1717.001.FLD_ill_096_i7---IDT_i5_11.116_ch_ITS"	"NS.1717.001.FLD_ill_096_i7---IDT_i5_2.Blank_S9_ITS"	"NS.1717.002.FLD_ill_001_i7---IDT_i5_12.1_ITS"	"NS.1717.002.FLD_ill_002_i7---IDT_i5_12.2_ITS"	"NS.1717.002.FLD_ill_003_i7---IDT_i5_12.3_ITS"	"NS.1717.002.FLD_ill_004_i7---IDT_i5_12.4_ITS"	"NS.1717.002.FLD_ill_005_i7---IDT_i5_12.5_ITS"	"NS.1717.002.FLD_ill_006_i7---IDT_i5_12.6_ITS"	"NS.1717.002.FLD_ill_007_i7---IDT_i5_12.7_ITS"	"NS.1717.002.FLD_ill_008_i7---IDT_i5_12.8_ITS"	"NS.1717.002.FLD_ill_009_i7---IDT_i5_1.9_ITS"	"NS.1717.002.FLD_ill_010_i7---IDT_i5_1.10_ITS"	"NS.1717.002.FLD_ill_011_i7---IDT_i5_1.11_ITS"	"NS.1717.002.FLD_ill_012_i7---IDT_i5_1.12_ITS"	"NS.1717.002.FLD_ill_013_i7---IDT_i5_1.13_ITS"	"NS.1717.002.FLD_ill_014_i7---IDT_i5_1.14_ITS"	"NS.1717.002.FLD_ill_015_i7---IDT_i5_1.15_ITS"	"NS.1717.002.FLD_ill_016_i7---IDT_i5_1.16_ITS"	"NS.1717.002.FLD_ill_017_i7---IDT_i5_2.17_ITS"	"NS.1717.002.FLD_ill_018_i7---IDT_i5_2.18_ITS"	"NS.1717.002.FLD_ill_019_i7---IDT_i5_2.19_ITS"	"NS.1717.002.FLD_ill_020_i7---IDT_i5_2.20_ITS"	"NS.1717.002.FLD_ill_021_i7---IDT_i5_2.21_ITS"	"NS.1717.002.FLD_ill_022_i7---IDT_i5_2.22_ITS"	"NS.1717.002.FLD_ill_023_i7---IDT_i5_2.23_ITS"	"NS.1717.002.FLD_ill_024_i7---IDT_i5_2.24_ITS"	"NS.1717.002.FLD_ill_025_i7---IDT_i5_3.25_ITS"	"NS.1717.002.FLD_ill_026_i7---IDT_i5_3.26_ITS"	"NS.1717.002.FLD_ill_027_i7---IDT_i5_3.27_ITS"	"NS.1717.002.FLD_ill_028_i7---IDT_i5_3.28_ITS"	"NS.1717.002.FLD_ill_029_i7---IDT_i5_3.29_ITS"	"NS.1717.002.FLD_ill_030_i7---IDT_i5_3.30_ITS"	"NS.1717.002.FLD_ill_031_i7---IDT_i5_3.31_ITS"	"NS.1717.002.FLD_ill_032_i7---IDT_i5_3.32_ITS"	"NS.1717.002.FLD_ill_033_i7---IDT_i5_4.33_ITS"	"NS.1717.002.FLD_ill_034_i7---IDT_i5_4.34_ITS"	"NS.1717.002.FLD_ill_035_i7---IDT_i5_4.35_ITS"	"NS.1717.002.FLD_ill_036_i7---IDT_i5_4.36_ITS"	"NS.1717.002.FLD_ill_037_i7---IDT_i5_4.37_ITS"	"NS.1717.002.FLD_ill_038_i7---IDT_i5_4.38_ITS"	"NS.1717.002.FLD_ill_039_i7---IDT_i5_4.39_ITS"	"NS.1717.002.FLD_ill_040_i7---IDT_i5_4.40_ITS"	"NS.1717.002.FLD_ill_041_i7---IDT_i5_5.41_ITS"	"NS.1717.002.FLD_ill_042_i7---IDT_i5_5.42_ITS"	"NS.1717.002.FLD_ill_043_i7---IDT_i5_5.43_ITS"	"NS.1717.002.FLD_ill_044_i7---IDT_i5_5.44_ITS"	"NS.1717.002.FLD_ill_045_i7---IDT_i5_5.45_ITS"	"NS.1717.002.FLD_ill_046_i7---IDT_i5_5.46_ITS"	"NS.1717.002.FLD_ill_047_i7---IDT_i5_5.47_ITS"	"NS.1717.002.FLD_ill_048_i7---IDT_i5_5.48_ITS"	"NS.1717.002.FLD_ill_049_i7---IDT_i5_6.Blank_S1_ITS"
"ASV_1"	14420	7291	6027	159	98094	7380	157	179	23760	113	139	226	153	106	1654	16730	316	386	78358	238	30273	15481	9732	22083	477	168	7146	356	48936	130	36832	3951	16314	26227	1451	81	36142	45	151	73	10208	18404	2149	11377	5271	37	1317	46620	30927	121	164	2186	4289	126563	6016	21466	97253	18383	46339	148000	3259	2145	108817	167	6324	29515	14916	73058	87962	48595	313	114218	48344	78662	159	110133	75006	5203	81119	317	56882	138008	2604	217	102048	117417	294	5730	97623	11241	251	135691	194	24675	97839	182	9	15803	37	97	41	11560	7362	13	67917	29	23	12	4230	13544	64	7836	140985	7691	26	16514	35	29	14205	50007	118412	15856	45256	8786	12421	15374	67	59219	23153	36	24	101	31	5758	1751	1757	13	11	22	32525	2138	12880	96	3359	33
"ASV_2"	0	34871	0	29191	0	19064	40961	32206	12736	30013	0	15871	0	23501	28703	22423	0	14487	0	0	2063	41921	0	25764	0	44039	0	30339	0	0	0	28589	0	0	0	16044	0	12678	0	0	0	0	0	11651	0	50864	0	0	0	24540	0	25887	0	0	32618	0	0	16840	0	0	14816	0	2230	0	0	1913	21347	0	0	21776	0	0	0	0	34883	0	0	31810	0	0	16390	0	0	0	0	0	0	0	0	37421	0	0	19375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	3403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0
"ASV_3"	134	43620	16232	34328	1456	2778	8936	7920	5316	4938	121	21169	12601	272	143	277	671	70532	225	213	11951	8049	1056	2648	1816	5801	111	4134	85	0	240	16579	3857	21480	180	5065	149	123	106	17781	797	14593	158	4843	996	172	599	160	1531	7614	5677	30332	751	413	1997	113	109	7272	8538	146	159	96	161	363	270	261	37188	479	160	6758	255	260	139	426	7797	722	180	3618	198	243	15122	149	152	139	185	281	190	315	387	250	117	166	24961	31	40	32	110	973	52	35	70	58329	20154	193	9930	95	59	90	4572	364	85	70	3293	72	126	90	193	74	4336	21254	1733	22632	2581	95	128	5344	87	162	571	210	115	173	174	13469	5603	9086	99	94	5615	10375	5511	170	151	2062	62
"ASV_4"	0	21	512	37	33	26	26	28	29	32	17	21	23	7	15	13	30	22	24	7	8	0	12	0	326	53	27060	9	9	7	9	0	12	0	37	0	5253	0	40	154	61931	0	30	7	33	91	66213	4	23	17	43	144	78543	326	0	17	34	19	6466	30	0	20	35	79	6232	66961	0	24	23	0	16	743	77	40	152	18	4	0	17	0	0	16	7	0	29	6397	12	61557	23017	117	8	0	0	44	42	33	5	450	8	5	0	11	101	21	0	0	0	0	3	0	0	6554	0	0	0	0	0	5	0	0	12	0	6	7	6	8	0	0	0	0	0	15	62	0	0	0	18	0	16	15	18	2358	14	9	0
"ASV_5"	21	37	806	31	387	12	11	0	562	904	17	0	50106	12	13	590	9	887	29	37	0	41	36	31	8639	63	7392	118	72	48	44191	31	21493	42988	46	27	8715	26	35	0	0	4	517	0	140	10	5201	45	28093	0	0	13	0	16	11	443	13	45021	79	71	20	9580	0	10203	19	2052	293	1330	15	14	0	1817	23	5197	362	37	18112	335	26	7799	1770	55	40674	51	4897	137	23	1653	31	707	0	10	0	12089	1485	11	0	5	0	11	0	491	21	12	559	14	22	80	710	130	21	5904	17	11	52	10	20563	17	12	239	17	16	4	10	19	15	10	22	1486	165	43	21	63	0	22	20	11	20	590	179	1191	277	10	14	0
"ASV_6"	104	5050	81	10185	0	48	4641	33051	7607	14101	134	19364	94	93	159	173	1455	11272	113	119	5714	2001	82	4788	119	132	131	1083	1138	934	973	8171	140	2349	76	21937	81	63	71	12759	108	0	132	11131	192	102	196	43	44	82	2931	13832	301	167	897	142	148	114	86	81	1680	154	133	128	103	124	8644	284	79	5732	95	96	108	285	6306	106	106	1626	153	186	120	112	132	93	65	66	6636	80	117	7000	53	79	13221	0	36	0	144	163	122	166	53	14255	8478	54	5766	0	0	0	1653	0	31	564	5583	3514	0	415	6815	2840	7033	4544	402	745	4376	76	40	81	110	69	1660	4121	50	50	34	2033	11533	8722	68	74	2716	32512	5220	217	81	72	45
"ASV_7"	6384	1027	16	0	20	2384	10	11	13	839	52	1209	25	470	239	2415	16	2667	17598	8	0	45	25347	41	18337	37263	0	2360	0	458	25	0	10450	11271	12837	17	0	9	15	48	7841	0	0	3812	49158	517	1219	7	14	1672	0	999	11720	169	69	24665	632	0	27	120	1210	67269	554	980	22379	638	17	4616	5753	8	22	890	202	6658	0	10894	0	89	25	0	0	718	2019	785	0	1100	9	32	15	18	15	0	0	353	0	0	15	27	19	14	20	13	485	37	0	12	19	22	20	131	16	1095	0	0	14	774	25	2003	0	0	104	15	0	21	19	0	0	11	215	969	12	15	0	0	63	0	0	0	0	0	0	343	13	0	12
"ASV_8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14763	0	0	0	0	0	0	0	0	0	0	0	0	0	23927	0	0	2323	0	0	2649	0	0	2464	1303	0	0	0	0	0	0	0	1884	0	445	0	0	0	9761	0	0	0	0	1827	0	0	0	1031	0	0	0	0	0	0	0	0	0	18439	35869	0	11664	0	0	0	0	22173	0	18006	0	43180	0	0	0	0	41849	0	16023	0	0	28368	0	0	0	0	14613	0	0	0	0	19799	0	0	0	0	38197	0	0	10642	0	0	0
"ASV_9"	653	756	0	3545	1085	2145	0	0	6524	736	0	5341	0	2410	783	682	48	902	0	0	35	1846	3778	461	167	1016	0	6572	0	0	42	3088	0	523	836	18	1971	1664	32	0	0	2700	126	1806	992	4888	284	2454	544	8658	21	11042	201	0	0	177	63	8126	380	67	6403	515	258	31	795	0	0	0	59	2437	0	146	12	0	3383	817	223	4989	108	0	1559	38	1326	26	147	107	5358	403	167	2796	22	0	19	0	42	0	0	0	36	23	40	1686	2843	0	1581	0	0	33	1075	2838	27	1693	1312	0	23	3408	812	5641	4848	3769	1108	1214	3152	3155	791	16	51	1044	3051	0	50	44	15	1346	1793	6153	22	42	9464	4371	459	9042	15	3979	0
"ASV_10"	603	3181	3293	3998	993	744	1315	3006	60	19	9231	6620	20	26	624	27	56	1247	1249	22	1175	2416	74	3316	1200	34	65	27	46	1280	374	4895	58	754	1197	829	62	39	61	965	70	14	134	3881	386	2680	576	8455	2244	29	2799	2792	178	119	140	2743	76	21	23	230	3487	4028	405	31	2676	196	629	1055	369	29	21	184	33	382	1969	1006	460	3320	88	301	2970	85	2426	1283	576	28	23	784	479	8922	19	54	20	295	74	19	39	255	65	39	50	474	3696	48	2187	45	40	38	2586	2536	55	2065	213	4649	41	770	3187	1930	27	660	442	15	2214	41	567	24	44	1181	6759	2528	20	38	39	1611	4537	6393	31	42	1651	1276	4582	1500	65	4240	12
"ASV_11"	1269	0	0	1844	717	1370	0	2849	0	6962	0	0	0	0	812	2715	0	0	0	0	0	0	0	1351	0	0	0	0	0	0	1037	4793	0	0	399	0	0	0	0	0	323	0	0	0	217	0	200	0	0	1006	0	2251	1799	12	0	0	0	0	1063	17	3300	466	1338	0	0	329	0	320	171	0	0	0	0	121	0	0	255	733	155	0	0	92	1073	0	693	0	0	0	257	1425	0	0	0	0	16	8	15	0	0	0	0	3743	5050	0	6853	0	0	0	3815	3496	0	1782	1482	2119	0	9408	0	6406	841	1904	699	8545	9049	11227	6433	7011	0	1835	1899	16329	0	0	0	1969	5185	0	0	0	5485	2404	678	3158	0	1995	30
"ASV_12"	375	3653	11042	16	650	1225	1729	16	1849	16	19	7474	12	21	4893	2269	18	0	417	8	26	2498	436	774	1963	25	33	3429	26	8	16	2507	2370	9	17	10	19	4255	16	9	153	8	48	2170	115	965	159	1431	295	0	13	2741	266	39	0	122	65	1245	2018	23	3612	13	59	14041	227	96	740	234	20	1555	0	47	19	63	5612	285	66	842	55	481	12313	29	816	4098	71	10	9037	441	78	3061	21	17	6599	7	11	0	9	161	0	0	13	364	3925	10	550	34	0	0	22	1592	8	127	26	1524	23	1720	23	22	26	13	720	266	255	745	226	14	15	31	2334	1251	14	49	13	3725	4050	21	17	40	281	232	2661	2095	19	13	29
"ASV_13"	1354	0	0	0	0	0	0	0	0	4483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	65453	0	0	0	0	69	37355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	41813	0	21	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	0	0	0	1017	0	0	0	0	0	0	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_14"	8702	0	0	0	4821	0	0	0	0	0	1675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10381	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	3342	0	0	0	0	0	2355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4314	0	0	0	0	0	0	0	0	2006	0	0	0	0	0	0	0	0	0	0	0	0	953	0	0	0	0	0	0	0	0	0	0	36940	0	0	0	0	0	0	0	0	0	0	7968	0	13533	0	0	14820	0	0	0	0	0	0	0	0	0	14648	0	0	0	0	11803	13956	0	0	0	0
"ASV_15"	1737	0	0	4372	3606	0	3	2910	3288	8	14	10	11	11	13	3681	51	2086	1163	19	13	4649	10	0	24	8473	18	18	0	2761	13	6862	1794	22	1123	14	16	15	5	0	52	23	140	9	13	11447	303	17	14	12422	288	782	21	21	14	33	0	1537	1715	65	1972	9	83	28	475	1352	1445	161	90	13	7	126	40	120	23	1782	197	7681	49	9270	28	0	899	33	254	15	14	176	0	1545	17	132	20	2160	12	0	39	189	0	17	13	2370	402	11	23	17	8	23	4938	0	36	505	2068	4	23	0	13	7	7	8406	110	2251	2460	5394	537	17	27	3023	31	18	18	40	18	33	1810	15	19	20	184	216	1774	8	0	7	0
"ASV_16"	0	0	0	0	919	621	661	0	828	0	0	0	0	1740	1983	0	0	0	0	0	510	0	18	1426	0	0	0	427	0	0	0	4124	3790	0	0	0	0	11	0	0	279	0	0	8927	0	0	0	0	0	2631	1072	2547	699	0	0	95	0	0	3005	0	0	3644	0	0	1144	0	0	0	0	0	0	204	0	0	1734	101	0	0	0	0	0	0	1516	842	282	333	0	480	0	0	0	0	0	193	0	0	0	61	0	22	17	1060	1421	23	4107	0	0	0	5957	375	0	457	1364	7580	0	2789	0	0	8503	634	631	1433	4213	8449	0	1991	0	3105	3042	10220	0	0	32	1937	3272	604	0	0	5796	4070	3274	2055	0	661	0
