"file","id_rec","group","wave","start","volt"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",0,"149"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","1",0,NA
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","1",396,"-2"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",514.92,"1517"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","1",606.29,"-11"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",751.87,"1145"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","4",2353.3,"-3179"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",2427.91,"-708"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","4",2487.87,"-3280"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","5",2514.61,"-3663"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","4",2554.51,"-3311"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",2599.96,"-575"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","1",2966.26,"6"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",3211.58,"40"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","1",3229.5,"1"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",3405.49,"474"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","1",3433.69,"-4"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",3528.01,"228"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","1",3547.12,"-7"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",3556.66,"62"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","4",4705.89,"-4192"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","5",4744.44,"-4645"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","2",4948.42,"-780"
"C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA",1,"Kim_SA","4",5638.41,"-4055"
