"id_rec","file","group","sum.np","lat.c","num.c","num.cs","num.css","sum.c","mean.c","occ.pd","num.pd","sum.pd","mean.pd","rate.pd","occ.e1","lat.e1","lat.e1p","num.e1","sum.e1","mean.e1","max.e1","prop.e1","occ.sing.e1","sing.e1","num.e1f","num.e1m","num.e1l","sum.e1f","sum.e1m","sum.e1l","prop.e1f","prop.e1m","prop.e1l","occ.e2","occ.e2s","lat.e2","lat.e2p","lat.e2s","lat.e2sp","num.e2","num.e2s","sum.e2","sum.e2s","mean.e2","mean.e2t","mean.e2s","mean.e2st","max.e2","occ.f","num.f","sum.f","mean.f","occ.g","num.g","sum.g","mean.g","occ.w11","lat.w11p","num.w11","sum.w11","mean.w11","occ.w12","lat.w12p","num.w12","sum.w12","mean.w12"
"1","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch6_.ANA","Kim_SA","36.3051666666668",8.582,26,15,4,205.506666666667,7.90410256410256,0,NA,NA,NA,NA,1,39.2216666666667,30.6396666666667,10,7.98683333333327,0.798683333333327,3.05199999999996,2.83109502361226,1,1,5,2,2,2.66466666666666,3.13733333333329,0.941333333333326,1.1187233622717,1.31716591014525,0.395205751195305,1,1,41.9101666666667,33.3281666666667,265.673833333333,257.091833333333,7,1,230.201333333333,208.8325,32.8859047619048,33.3340952380952,208.8325,211.969833333333,208.8325,0,0,0,NA,0,0,0,NA,0,471.418,0,0,NA,0,471.418,0,0,NA
"2","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst3_psfRivera-ch1_.ANA","Kim_SA","91.3233333333333",23.3665,60,33,6,329.372166666667,5.48953611111111,0,NA,NA,NA,NA,1,37.2605,13.894,13,19.7821666666669,1.52170512820514,4.1346666666667,20.7223311326301,1,5,4,0,4,5.34983333333336,0,1.64433333333344,15.850497010039,0,4.87183412259117,1,1,38.2705,14.904,427.8295,404.463,4,1,13.9696666666666,10.7906666666667,3.49241666666666,3.49241666666666,10.7906666666667,10.7906666666667,10.7906666666667,0,0,0,NA,1,1,25.5526666666667,25.5526666666667,0,456.6335,0,0,NA,0,456.6335,0,0,NA
"3","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/8_syst1_psfRivera-ch4_.ANA","Kim_SA","47.4395000000001",0.816833333333333,36,19,11,244.614,6.79483333333333,0,NA,NA,NA,NA,1,250.390333333333,249.5735,8,7.83633333333344,0.97954166666668,2.74883333333327,5.73643615965729,1,2,3,0,3,2.53316666666677,0,1.80283333333338,3.35132584527336,0,2.38511031438393,1,1,251.409833333333,250.593,296.229833333333,295.413,3,1,67.7506666666665,64.3498333333333,22.5835555555555,22.5835555555555,64.3498333333333,64.3498333333333,64.3498333333333,1,2,66.4615,33.23075,1,2,45.898,22.949,0,479.183166666667,0,0,NA,0,479.183166666667,0,0,NA
"4","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/7_syst3_psfRivera-ch1_.ANA","Kim_SA","34.4213333333333",65.6465,19,0,0,322.362,16.9664210526316,0,NA,NA,NA,NA,1,198.854,133.2075,14,14.6084999999997,1.04346428571427,2.94450000000006,7.80234006930611,1,5,3,4,2,2.53666666666663,2.08516666666651,0.721833333333223,3.70381185998516,3.04457228516895,1.053955924152,1,1,259.131166666667,193.484666666667,259.131166666667,193.484666666667,7,3,53.8795000000002,47.7461666666667,7.69707142857146,7.99495238095239,15.9153888888889,16.6104444444444,20.2461666666667,1,1,54.7286666666667,54.7286666666667,0,0,0,NA,0,414.3535,0,0,NA,0,414.3535,0,0,NA
"5","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/7_syst1_psfRivera-ch4_.ANA","Kim_SA","53.2765",11.6953333333333,38,13,7,358.7875,9.44177631578948,0,NA,NA,NA,NA,1,120.167166666667,108.471833333333,10,19.7731666666666,1.97731666666666,6.62616666666668,23.8761481394252,1,2,4,0,4,6.88299999999992,0,9.33749999999995,10.1315944418275,0,13.7445536975977,1,1,169.113,157.417666666667,188.613333333333,176.918,4,1,48.1628333333334,42.8811666666667,12.0407083333333,12.0407083333333,42.8811666666667,42.8811666666667,42.8811666666667,0,0,0,NA,0,0,0,NA,0,468.304666666667,0,0,NA,0,468.304666666667,0,0,NA
"6","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/6_syst3_psfRivera-ch6_.ANA","Kim_SA","73.7188333333334",5.69666666666667,41,11,3,345.535,8.42768292682927,0,NA,NA,NA,NA,1,79.6586666666667,73.962,8,5.93400000000004,0.741750000000005,1.33116666666672,8.47010312474561,1,2,3,0,3,2.77966666666664,0,0.863,6.46341416153491,0,2.0066889632107,1,1,80.9021666666667,75.2055,103.945666666667,98.249,3,2,37.0721666666667,36.732,12.3573888888889,12.3573888888889,18.366,18.366,23.2113333333334,0,0,0,NA,1,1,17.74,17.74,0,474.303333333333,0,0,NA,0,474.303333333333,0,0,NA
"7","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/6_syst3_psfRivera-ch2_.ANA","Kim_SA","31.8415000000001",1.2055,23,12,8,204.120666666667,8.8748115942029,0,NA,NA,NA,NA,1,95.2393333333333,94.0338333333333,6,12.5246666666665,2.08744444444442,9.24416666666662,5.13226432786714,0,0,2,3,1,1.10483333333326,10.8808333333333,0.538999999999959,0.452730348504676,4.45866658653336,0.220867392829101,1,1,95.825,94.6195,95.825,94.6195,5,3,231.513166666667,224.38,46.3026333333333,48.4788,74.7933333333333,78.4202777777778,108.4105,0,0,0,NA,0,0,0,NA,0,478.7945,0,0,NA,0,478.7945,0,0,NA
"8","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/6_syst1_psfRivera-ch5_.ANA","Kim_SA","15.9409999999999",2.24516666666667,28,17,8,249.656,8.91628571428572,0,NA,NA,NA,NA,1,262.137,259.891833333333,5,5.11716666666661,1.02343333333332,1.35483333333332,20.5184776613348,1,3,1,0,1,1.25050000000005,0,0.175499999999943,17.9932372478964,0,2.52524041343836,1,0,431.870333333333,429.625166666667,480,477.754833333333,1,0,1.83266666666668,0,1.83266666666668,1.83266666666668,NA,NA,1.83266666666668,1,2,168.796833333333,84.3984166666667,1,1,38.6563333333334,38.6563333333334,0,477.754833333333,0,0,NA,0,477.754833333333,0,0,NA
"9","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/5_syst3_psfRivera-ch5_.ANA","Kim_SA","0.801666666666667",0.801666666666667,1,0,0,56.2566666666667,56.2566666666667,0,NA,NA,NA,NA,1,57.0583333333333,56.2566666666667,3,1.97099999999999,0.656999999999996,0.984333333333339,0.466021713002185,0,0,1,2,0,0.984333333333339,0.98666666666665,0,0.232735010738283,0.233286702263902,0,1,1,58.0426666666667,57.241,58.0426666666667,57.241,3,3,420.970666666667,420.970666666667,140.323555555556,140.652444444444,140.323555555556,140.652444444444,280.5055,0,0,0,NA,0,0,0,NA,0,479.198333333333,0,0,NA,0,479.198333333333,0,0,NA
"10","C:\Users\piete\OneDrive - Wageningen University & Research\Documenten\EPG Experiments DATA\Annotations\Succesfull_8_hour_annotations\Kim_SA/4_syst3_psfRivera-ch6_.ANA","Kim_SA","16.0713333333333",1.18116666666667,19,3,1,130.504,6.86863157894737,0,NA,NA,NA,NA,1,56.945,55.7638333333333,11,12.098,1.09981818181818,2.77316666666668,3.56237764085566,1,1,5,1,4,7.39500000000007,0.411666666666662,3.56299999999999,2.31702330652858,0.128984619497982,1.1163697148291,1,1,58.607,57.4258333333333,58.607,57.4258333333333,6,5,307.0615,303.2235,51.1769166666667,51.2455277777778,60.6447,60.7270333333333,172.289166666667,0,0,0,NA,1,1,14.2651666666667,14.2651666666667,0,478.818833333333,0,0,NA,0,478.818833333333,0,0,NA
