"","distance","plant_pathway_induced","sample_name","Experiment","UMAP1","UMAP2","UMAP1_centroid","UMAP2_centroid"
"1","bray","control","6_ITS","cond_phytohormones",0.779055980853062,1.69009549927463,0.705467455555505,0.753548648728841
"2","bray","control","7_ITS","cond_phytohormones",1.09423871085442,1.49150694716936,0.705467455555505,0.753548648728841
"3","bray","control","9_ITS","cond_phytohormones",0.663021562159234,0.601520289279666,0.705467455555505,0.753548648728841
"4","bray","control","13_ITS","cond_phytohormones",-1.1239191337375,-1.16131193533655,0.705467455555505,0.753548648728841
"5","bray","control","14_ITS","cond_phytohormones",1.31060414447292,1.19067199531438,0.705467455555505,0.753548648728841
"6","bray","control","16_ITS","cond_phytohormones",1.50980346873089,0.708809096671558,0.705467455555505,0.753548648728841
"7","bray","JA","17_ITS","cond_phytohormones",-0.471571319099882,-0.868707174631757,-0.323429885433706,-0.457265095434252
"8","bray","JA","18_ITS","cond_phytohormones",-1.26497326564232,0.579875086798096,-0.323429885433706,-0.457265095434252
"9","bray","JA","20_ITS","cond_phytohormones",0.975026415653541,-0.361602679467151,-0.323429885433706,-0.457265095434252
"10","bray","JA","21_ITS","cond_phytohormones",0.236859534825028,-1.62758030903132,-0.323429885433706,-0.457265095434252
"11","bray","JA","22_ITS","cond_phytohormones",-0.411001250244462,-1.57487190653407,-0.323429885433706,-0.457265095434252
"12","bray","JA","23_ITS","cond_phytohormones",-1.23101850337214,0.231471403340267,-0.323429885433706,-0.457265095434252
"13","bray","JA","24_ITS","cond_phytohormones",-1.42407023795522,-0.951610688018573,-0.323429885433706,-0.457265095434252
"14","bray","JA","25_ITS","cond_phytohormones",0.944926052243582,1.10252522528432,-0.323429885433706,-0.457265095434252
"15","bray","JA","26_ITS","cond_phytohormones",0.441188034102285,-0.29164732280136,-0.323429885433706,-0.457265095434252
"16","bray","JA","27_ITS","cond_phytohormones",-0.305958987064401,-0.125251746082677,-0.323429885433706,-0.457265095434252
"17","bray","JA","28_ITS","cond_phytohormones",-0.643766175135305,1.24546201019905,-0.323429885433706,-0.457265095434252
"18","bray","JA","29_ITS","cond_phytohormones",-1.5364682347374,-1.49888459176498,-0.323429885433706,-0.457265095434252
"19","bray","JA","30_ITS","cond_phytohormones",0.946287964637033,-1.47735556802517,-0.323429885433706,-0.457265095434252
"20","bray","JA","32_ITS","cond_phytohormones",-0.783478424282216,-0.783533075344209,-0.323429885433706,-0.457265095434252
"21","bray","SA","33_ITS","cond_phytohormones",0.593922604273248,1.29520102740856,0.029521366273885,0.188041944370649
"22","bray","SA","34_ITS","cond_phytohormones",1.44736658836004,0.195975468752061,0.029521366273885,0.188041944370649
"23","bray","SA","38_ITS","cond_phytohormones",-0.73891074062476,0.663102832363653,0.029521366273885,0.188041944370649
"24","bray","SA","39_ITS","cond_phytohormones",-1.4790676881358,-0.460343178270157,0.029521366273885,0.188041944370649
"25","bray","SA","40_ITS","cond_phytohormones",0.656981600881015,-1.19152565969892,0.029521366273885,0.188041944370649
"26","bray","SA","43_ITS","cond_phytohormones",0.0680975479409107,1.86622511600901,0.029521366273885,0.188041944370649
"27","bray","SA","44_ITS","cond_phytohormones",0.0299870132308611,0.233026423851706,0.029521366273885,0.188041944370649
"28","bray","SA","45_ITS","cond_phytohormones",-0.952028206792194,-0.294165278609113,0.029521366273885,0.188041944370649
"29","bray","SA","46_ITS","cond_phytohormones",-0.067593533200387,1.43493911981693,0.029521366273885,0.188041944370649
"30","bray","SA","48_ITS","cond_phytohormones",0.736458476805915,-1.86201642791724,0.029521366273885,0.188041944370649
"31","jacc","control","6_ITS","cond_phytohormones",-1.97667496580989,0.718504262180702,-1.18232813763946,0.246879228380274
"32","jacc","control","7_ITS","cond_phytohormones",-2.24486454860153,0.183083769961155,-1.18232813763946,0.246879228380274
"33","jacc","control","9_ITS","cond_phytohormones",-1.00822437963094,0.163988579121331,-1.18232813763946,0.246879228380274
"34","jacc","control","13_ITS","cond_phytohormones",0.730182779932032,-1.26352225992568,-1.18232813763946,0.246879228380274
"35","jacc","control","14_ITS","cond_phytohormones",-1.18709833212265,1.1019757881187,-1.18232813763946,0.246879228380274
"36","jacc","control","16_ITS","cond_phytohormones",-1.40728937960378,0.577245230825435,-1.18232813763946,0.246879228380274
"37","jacc","JA","17_ITS","cond_phytohormones",0.553838051800966,-0.688096073825142,0.570264422441523,-0.15498842744908
"38","jacc","JA","18_ITS","cond_phytohormones",-0.0045553518274013,0.39953974565238,0.570264422441523,-0.15498842744908
"39","jacc","JA","20_ITS","cond_phytohormones",-0.703039427392414,0.618607129441425,0.570264422441523,-0.15498842744908
"40","jacc","JA","21_ITS","cond_phytohormones",1.72609702328835,-0.264069636626706,0.570264422441523,-0.15498842744908
"41","jacc","JA","22_ITS","cond_phytohormones",1.77211569311677,-0.801543471607957,0.570264422441523,-0.15498842744908
"42","jacc","JA","23_ITS","cond_phytohormones",0.747439393978288,0.38311850382752,0.570264422441523,-0.15498842744908
"43","jacc","JA","24_ITS","cond_phytohormones",1.14687969181993,-0.845607352495287,0.570264422441523,-0.15498842744908
"44","jacc","JA","25_ITS","cond_phytohormones",-1.69962478480168,0.255808617827086,0.570264422441523,-0.15498842744908
"45","jacc","JA","26_ITS","cond_phytohormones",-0.586987069817206,-0.395403256752845,0.570264422441523,-0.15498842744908
"46","jacc","JA","27_ITS","cond_phytohormones",0.24773168827978,-0.324747552987121,0.570264422441523,-0.15498842744908
"47","jacc","JA","28_ITS","cond_phytohormones",0.558267893870308,0.900041707935358,0.570264422441523,-0.15498842744908
