"","distance","plant_pathway_induced","sample_name","Experiment","NMDS1","NMDS2","NMDS1_centroid","NMDS2_centroid"
"1","bray","control","6_ITS","cond_phytohormones",-0.095094339169638,-0.0530530445579766,-0.106490719271705,-0.0776863862905999
"2","bray","control","7_ITS","cond_phytohormones",-0.172082149709426,-0.115206765678536,-0.106490719271705,-0.0776863862905999
"3","bray","control","9_ITS","cond_phytohormones",-0.0585313036693089,-0.0721986162179203,-0.106490719271705,-0.0776863862905999
"4","bray","control","13_ITS","cond_phytohormones",-0.0375836321064662,0.101748719996028,-0.106490719271705,-0.0776863862905999
"5","bray","control","14_ITS","cond_phytohormones",-0.202540959625756,-0.163899904165915,-0.106490719271705,-0.0776863862905999
"6","bray","control","16_ITS","cond_phytohormones",-0.0731119313496377,-0.163508707119279,-0.106490719271705,-0.0776863862905999
"7","bray","JA","17_ITS","cond_phytohormones",0.086304800938728,-0.0904379642062493,0.0513365102679709,0.0189269558924421
"8","bray","JA","18_ITS","cond_phytohormones",-0.189221222216553,0.303065795745288,0.0513365102679709,0.0189269558924421
"9","bray","JA","20_ITS","cond_phytohormones",0.0268093347878066,-0.254838062610758,0.0513365102679709,0.0189269558924421
"10","bray","JA","21_ITS","cond_phytohormones",0.273462001643662,0.276435600358268,0.0513365102679709,0.0189269558924421
"11","bray","JA","22_ITS","cond_phytohormones",0.205080820714346,0.00563928297961054,0.0513365102679709,0.0189269558924421
"12","bray","JA","23_ITS","cond_phytohormones",-0.0705659148000754,0.202080411023405,0.0513365102679709,0.0189269558924421
"13","bray","JA","24_ITS","cond_phytohormones",0.0817592280785981,0.11554398895704,0.0513365102679709,0.0189269558924421
"14","bray","JA","25_ITS","cond_phytohormones",-0.111797988881483,-0.0434611456824561,0.0513365102679709,0.0189269558924421
"15","bray","JA","26_ITS","cond_phytohormones",0.00416571452888949,-0.0511087603970838,0.0513365102679709,0.0189269558924421
"16","bray","JA","27_ITS","cond_phytohormones",0.0579508401377816,0.00672950306816726,0.0513365102679709,0.0189269558924421
"17","bray","JA","28_ITS","cond_phytohormones",-0.119329813508765,0.0888594516338585,0.0513365102679709,0.0189269558924421
"18","bray","JA","29_ITS","cond_phytohormones",0.10168908180405,-0.251360807419826,0.0513365102679709,0.0189269558924421
"19","bray","JA","30_ITS","cond_phytohormones",0.275133379080342,-0.0695154756219376,0.0513365102679709,0.0189269558924421
"20","bray","JA","32_ITS","cond_phytohormones",0.0972708814442643,0.0273455646668644,0.0513365102679709,0.0189269558924421
"21","bray","SA","33_ITS","cond_phytohormones",-0.125792434434602,-0.153873667283024,-0.00797668281213608,0.0201140935249409
"22","bray","SA","34_ITS","cond_phytohormones",-0.211487605371693,0.0609245069937266,-0.00797668281213608,0.0201140935249409
"23","bray","SA","38_ITS","cond_phytohormones",-0.217948300010667,0.197898265791801,-0.00797668281213608,0.0201140935249409
"24","bray","SA","39_ITS","cond_phytohormones",0.0712492492765943,0.155731562851638,-0.00797668281213608,0.0201140935249409
"25","bray","SA","40_ITS","cond_phytohormones",0.345628634665156,0.111311866884859,-0.00797668281213608,0.0201140935249409
"26","bray","SA","43_ITS","cond_phytohormones",-0.181691374731113,-0.06004625641222,-0.00797668281213608,0.0201140935249409
"27","bray","SA","44_ITS","cond_phytohormones",0.0237509114566359,-0.0045165434331297,-0.00797668281213608,0.0201140935249409
"28","bray","SA","45_ITS","cond_phytohormones",0.0159467808455621,0.148387795413571,-0.00797668281213608,0.0201140935249409
"29","bray","SA","46_ITS","cond_phytohormones",-0.24537872015816,-0.0936087655507503,-0.00797668281213608,0.0201140935249409
"30","bray","SA","48_ITS","cond_phytohormones",0.445956030340926,-0.161067830007062,-0.00797668281213608,0.0201140935249409
"31","uni","control","6_ITS","cond_phytohormones",-0.305484975101186,-0.0484796591970863,-0.160657641651262,-0.0638662081224273
"32","uni","control","7_ITS","cond_phytohormones",-0.250275731223145,-0.137011681001767,-0.160657641651262,-0.0638662081224273
"33","uni","control","9_ITS","cond_phytohormones",-0.0852214079789229,-0.0676645719286768,-0.160657641651262,-0.0638662081224273
"34","uni","control","13_ITS","cond_phytohormones",0.0610077561476456,-0.0610550177423031,-0.160657641651262,-0.0638662081224273
"35","uni","control","14_ITS","cond_phytohormones",-0.262735792095664,0.116005589430948,-0.160657641651262,-0.0638662081224273
"36","uni","control","16_ITS","cond_phytohormones",-0.121235699656298,-0.184991908295678,-0.160657641651262,-0.0638662081224273
"37","uni","JA","17_ITS","cond_phytohormones",-0.17995232870468,-0.237478476129628,0.0653213470553146,-0.0336954445599294
"38","uni","JA","18_ITS","cond_phytohormones",0.301781644295353,0.130641848507624,0.0653213470553146,-0.0336954445599294
"39","uni","JA","20_ITS","cond_phytohormones",-0.174819155858335,-0.0858254259308564,0.0653213470553146,-0.0336954445599294
"40","uni","JA","21_ITS","cond_phytohormones",0.174127180879818,-0.0371196677568288,0.0653213470553146,-0.0336954445599294
"41","uni","JA","22_ITS","cond_phytohormones",0.19024360741226,-0.132544598182483,0.0653213470553146,-0.0336954445599294
"42","uni","JA","23_ITS","cond_phytohormones",0.16836970307522,0.0202133838608213,0.0653213470553146,-0.0336954445599294
"43","uni","JA","24_ITS","cond_phytohormones",0.388154338909513,-0.0170786444681708,0.0653213470553146,-0.0336954445599294
"44","uni","JA","25_ITS","cond_phytohormones",-0.172565359931737,-0.0227001452349643,0.0653213470553146,-0.0336954445599294
"45","uni","JA","26_ITS","cond_phytohormones",0.0762322302606805,0.160322711541424,0.0653213470553146,-0.0336954445599294
